City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
phonhong,18.5007,102.4166,67.06,66,22,2.1,LA,1611778019
dangriga,16.9692,-88.2321,86.0,70,20,10.36,BZ,1611778019
finschhafen,-6.6024,147.8681,80.85,79,100,9.31,PG,1611778019
constantine,36.365,6.6147,51.8,93,90,4.61,DZ,1611778019
kikwit,-5.041,18.8162,70.09,98,100,2.08,CD,1611778019
jiuquan,39.7432,98.5174,18.81,73,0,1.95,CN,1611778020
bandar,2.05,99.75,71.6,93,100,1.95,ID,1611778020
arlit,18.7369,7.3853,68.22,20,0,6.87,NE,1611777948
embonas,36.2269,27.8564,51.01,66,75,23.02,GR,1611778020
nagato,34.3833,131.2,44.6,76,40,3.44,JP,1611778020
salina,38.8403,-97.6114,24.01,74,75,9.22,US,1611777774
celestun,20.8667,-90.4,83.82,62,0,11.18,MX,1611778021
klaksvik,62.2266,-6.589,30.2,80,77,6.91,FO,1611778021
nayoro,44.3506,142.4578,15.89,94,100,10.71,JP,1611778021
sidi ali,36.0998,0.4206,55.54,99,2,4.43,DZ,1611778021
hay river,60.8156,-115.7999,-11.2,70,100,9.22,CA,1611778022
meulaboh,4.1363,96.1285,76.17,86,100,5.73,ID,1611778022
grande prairie,55.1667,-118.8027,-0.4,71,90,8.05,CA,1611777752
rabaul,-4.1967,152.1721,81.03,80,99,4.05,PG,1611778022
codrington,-38.2667,141.9667,57.4,89,86,10.04,AU,1611778022
deputatskiy,69.3,139.9,-22.97,89,100,2.24,RU,1611778023
hakui,36.8833,136.7833,39.99,79,100,12.3,JP,1611778023
naushki,50.3828,106.1056,-21.68,82,8,3.65,RU,1611778023
wanning,18.8003,110.3967,67.01,85,44,6.71,CN,1611778023
batagay-alyta,67.8006,130.4114,-40.81,79,2,1.61,RU,1611778023
port hardy,50.6996,-127.4199,37.4,87,90,11.5,CA,1611778024
flin flon,54.7682,-101.865,-9.4,77,20,2.3,CA,1611778024
ancud,-41.8697,-73.8203,66.99,63,20,13.8,CL,1611778024
mareeba,-17.0,145.4333,78.8,83,86,3.44,AU,1611778024
kindu,-2.95,25.95,73.65,85,63,1.45,CD,1611778024
kuliyapitiya,7.4688,80.0401,75.2,78,73,9.22,LK,1611778025
aksha,50.2814,113.2867,-16.91,80,0,5.53,RU,1611778025
bako,5.7833,36.5667,70.16,32,4,2.84,ET,1611778026
gizo,-8.103,156.8419,83.75,77,79,10.2,SB,1611778026
homer,59.6425,-151.5483,26.01,68,75,4.61,US,1611778026
honiara,-9.4333,159.95,79.63,81,100,8.03,SB,1611778026
margate,51.3813,1.3862,48.0,85,100,1.01,GB,1611778026
vila,42.0304,-8.1588,52.0,96,100,5.17,PT,1611778027
kozlovo,56.5167,36.2667,27.28,98,96,6.11,RU,1611778027
bocaiuva,-17.1078,-43.815,81.91,51,0,4.52,BR,1611778027
tiarei,-17.5333,-149.3333,82.4,69,75,1.14,PF,1611778027
ovada,44.6384,8.6453,36.0,71,23,1.77,IT,1611778027
poum,-20.2333,164.0167,79.61,77,8,14.27,NC,1611778028
coquimbo,-29.9533,-71.3436,66.2,68,20,16.11,CL,1611778028
vestmannaeyjar,63.4427,-20.2734,35.64,83,100,32.17,IS,1611778028
hovd,48.0056,91.6419,1.9,81,16,1.03,MN,1611778028
bathsheba,13.2167,-59.5167,82.4,61,40,18.41,BB,1611778029
nouadhibou,20.931,-17.0347,69.8,73,0,12.66,MR,1611778029
aswan,24.0934,32.907,62.13,27,0,10.45,EG,1611778029
tokur,53.1333,132.9,-22.18,89,100,1.32,RU,1611778029
cockburn town,21.4612,-71.1419,80.6,57,40,11.5,TC,1611777909
la union,-5.4,-80.75,89.51,39,13,13.71,PE,1611778030
kragero,58.8693,9.4149,21.99,82,0,5.01,NO,1611778030
ugoofaaru,5.6667,73.0,80.67,68,33,11.14,MV,1611778030
gao,16.6362,1.637,72.52,15,0,11.56,ML,1611778030
fort nelson,58.8053,-122.7002,-7.6,64,20,9.22,CA,1611778030
ketchikan,55.3422,-131.6461,32.0,69,20,8.05,US,1611778031
dibulla,11.2725,-73.3091,85.91,56,100,12.59,CO,1611778031
biak,-0.9131,122.8766,77.5,73,100,4.14,ID,1611778031
rocha,-34.4833,-54.3333,77.45,59,0,13.82,UY,1611778031
half moon bay,37.4636,-122.4286,54.0,87,1,11.5,US,1611778031
pinheiro machado,-31.5783,-53.3811,69.01,97,89,5.99,BR,1611778032
salto,-31.3833,-57.9667,90.0,62,75,5.75,UY,1611778032
iquique,-20.2208,-70.1431,73.4,64,0,16.11,CL,1611778032
marzuq,14.4,46.4667,58.96,60,0,2.13,YE,1611778032
ambanja,-13.6833,48.45,75.42,88,53,3.13,MG,1611778033
sesheke,-17.4759,24.2968,68.52,92,100,4.92,ZM,1611778033
mogadishu,2.0371,45.3438,77.27,82,0,22.26,SO,1611777912
qasigiannguit,68.8193,-51.1922,8.6,56,20,3.44,GL,1611777970
coripata,-16.3,-67.6,62.6,25,40,10.36,BO,1611778033
kodinsk,58.6881,99.1844,-9.06,88,100,8.14,RU,1611778034
camacha,33.0833,-16.3333,60.8,100,75,11.5,PT,1611778034
sabang,5.8933,95.3214,81.25,73,89,5.46,ID,1611778034
yokadouma,3.5167,15.05,75.78,59,80,2.95,CM,1611778034
killybegs,54.6333,-8.45,48.99,93,90,14.97,IE,1611778034
laguna,38.421,-121.4238,51.01,76,90,16.11,US,1611777925
nyurba,63.2842,118.3319,-45.81,78,89,2.53,RU,1611778035
helsinge,56.0228,12.1975,34.0,45,100,7.0,DK,1611778035
christchurch,-43.5333,172.6333,63.0,88,90,9.22,NZ,1611777900
quedlinburg,51.7833,11.15,37.0,85,92,5.01,DE,1611778035
isangel,-19.55,169.2667,80.6,81,100,17.4,VU,1611778036
mananjary,-21.2167,48.3333,77.83,86,1,2.59,MG,1611778036
plettenberg bay,-34.0527,23.3716,64.44,82,94,5.26,ZA,1611778036
laredo,27.5064,-99.5075,69.8,18,1,17.27,US,1611778008
bogo,11.0517,124.0055,77.31,86,100,9.04,PH,1611778036
ahuimanu,21.4447,-157.8378,78.8,65,90,11.5,US,1611778037
shelburne,44.0787,-80.2041,23.0,86,90,8.05,CA,1611778037
bac lieu,9.285,105.7244,75.76,85,64,14.81,VN,1611778037
torbay,47.6666,-52.7314,30.0,86,75,11.5,CA,1611777916
atyrau,47.1167,51.8833,23.0,74,0,20.13,KZ,1611778038
ayan,56.45,138.1667,-7.44,89,100,11.25,RU,1611778038
solenzo,12.1833,-4.0833,78.69,15,0,9.33,BF,1611778038
mount gambier,-37.8333,140.7667,59.0,88,12,10.36,AU,1611778039
megion,61.0296,76.1136,-27.4,75,0,2.24,RU,1611778039
dharchula,29.85,80.5333,45.46,35,0,7.38,IN,1611778039
quixada,-4.9714,-39.0153,91.94,37,85,1.95,BR,1611778039
udachnyy,66.4167,112.4,-40.41,79,8,1.1,RU,1611778039
castlegar,49.2998,-117.6689,32.0,80,100,9.22,CA,1611777831
barabai,-2.5833,115.3833,72.48,92,100,1.32,ID,1611778040
baherden,38.4362,57.4316,41.05,61,0,8.32,TM,1611778040
neiafu,-18.65,-173.9833,75.2,94,90,10.36,TO,1611778041
alexandria,31.2156,29.9553,59.0,58,40,13.8,EG,1611777998
ostrovnoy,68.0531,39.5131,10.18,94,100,20.65,RU,1611778041
izumo,35.3667,132.7667,46.4,66,75,11.5,JP,1611778041
baillif,16.0202,-61.7463,75.2,88,75,9.22,GP,1611778041
lebyazhye,55.2689,66.4947,17.71,97,66,9.57,RU,1611778042
port moresby,-9.4431,147.1797,77.0,94,40,11.5,PG,1611778042
masty,53.4122,24.5387,28.9,98,98,8.95,BY,1611777790
bonavista,48.6499,-53.1147,28.99,86,91,2.3,CA,1611778042
okhotsk,59.3833,143.3,-13.77,79,53,10.63,RU,1611778042
praia da vitoria,38.7333,-27.0667,59.0,100,75,27.16,PT,1611778043
morondava,-20.2833,44.2833,82.85,77,52,6.46,MG,1611778043
wattegama,6.7989,81.4808,69.87,84,73,6.58,LK,1611778043
pedasi,7.5333,-80.0333,82.63,71,21,10.76,PA,1611778043
namatanai,-3.6667,152.4333,80.74,80,86,8.52,PG,1611778043
beaverlodge,55.2166,-119.4361,-0.4,71,90,8.05,CA,1611778044
te anau,-45.4167,167.7167,48.61,73,70,5.7,NZ,1611778044
peniche,39.3558,-9.3811,57.99,95,100,8.99,PT,1611778044
revadanda,18.5503,72.9278,69.8,78,0,5.46,IN,1611778044
iseyin,7.9667,3.6,83.26,29,12,4.81,NG,1611778044
belaya gora,68.5333,146.4167,-23.85,87,100,1.97,RU,1611778045
lamesa,32.7376,-101.951,48.99,30,14,5.99,US,1611778045
antofagasta,-23.65,-70.4,73.99,73,40,18.41,CL,1611778045
dunmore town,25.5,-76.65,75.34,79,0,9.86,BS,1611778046
ngunguru,-35.6167,174.5,69.01,83,67,5.01,NZ,1611778046
juneau,58.3019,-134.4197,21.2,35,20,16.11,US,1611777922
umm lajj,25.0213,37.2685,72.5,77,0,6.17,SA,1611778046
shimoda,34.6667,138.95,41.0,72,93,3.0,JP,1611778047
huicheng,23.0385,116.2899,55.4,88,29,2.24,CN,1611778047
la ronge,55.1001,-105.2842,-2.2,65,48,8.05,CA,1611778047
chaoyang,41.5703,120.4586,13.01,77,100,11.48,CN,1611778047
ludvika,60.1496,15.1878,16.0,86,90,4.61,SE,1611778048
bethanien,-26.502,17.1583,73.8,34,0,18.59,NA,1611778048
makokou,0.5738,12.8642,72.99,91,99,2.77,GA,1611778048
bahia honda,22.9036,-83.1592,81.59,61,0,4.41,CU,1611778048
barcelona,41.3888,2.159,55.0,71,20,3.44,ES,1611778049
kjopsvik,68.097,16.3742,24.8,54,75,18.41,NO,1611778049
hailar,49.2,119.7,-19.41,87,100,5.46,CN,1611778049
beringovskiy,63.05,179.3167,16.5,96,100,28.34,RU,1611778049
sorong,-0.8833,131.25,80.73,82,100,11.79,ID,1611777911
komsomolskiy,40.4272,71.7189,30.2,64,0,4.61,UZ,1611778050
kamalpur,24.2,91.8333,54.97,63,0,2.04,IN,1611778050
jonkoping,57.7814,14.1562,28.4,100,75,3.44,SE,1611778050
kamsack,51.5667,-101.9009,-7.6,77,40,10.36,CA,1611778050
georgetown,5.4112,100.3354,79.0,94,40,2.3,MY,1611777812
wuxue,29.8506,115.5525,42.76,92,13,6.17,CN,1611778051
abu zabad,12.35,29.25,74.08,20,33,10.31,SD,1611778051
camacupa,-12.0167,17.4833,64.54,90,100,7.7,AO,1611778051
havoysund,70.9963,24.6622,24.8,68,75,21.85,NO,1611778051
srednekolymsk,67.45,153.6833,-25.33,86,100,11.68,RU,1611778051
adamas,36.7333,24.4333,46.4,49,94,21.85,GR,1611778052
port hedland,-20.3167,118.5667,80.6,78,0,8.05,AU,1611778052
cap malheureux,-19.9842,57.6142,78.01,81,0,6.62,MU,1611778052
anchorage,61.2181,-149.9003,12.0,72,1,2.59,US,1611777777
khor,47.8861,134.9464,-14.37,87,0,6.46,RU,1611778052
xai-xai,-25.0519,33.6442,79.88,83,89,10.78,MZ,1611778053
emerald,-23.5333,148.1667,75.2,73,7,6.91,AU,1611778053
murgab,37.4966,61.9714,37.4,60,0,6.91,TM,1611778053
telenesti,47.4997,28.3656,32.0,74,90,13.8,MD,1611778053
leh,34.1667,77.5833,1.18,56,1,1.39,IN,1611778054
otane,-39.8833,176.6333,63.0,80,18,10.0,NZ,1611778054
pangnirtung,66.1451,-65.7125,-4.0,77,1,2.55,CA,1611778054
peruibe,-24.32,-46.9983,91.09,55,100,4.38,BR,1611778054
salalah,17.0151,54.0924,71.6,73,0,3.44,OM,1611777808
maragogi,-9.0122,-35.2225,79.23,79,2,10.47,BR,1611778055
mount isa,-20.7333,139.5,80.6,69,75,3.44,AU,1611778055
shestakovo,56.4915,103.96,-14.85,82,100,5.06,RU,1611778055
sam roi yot,12.2708,99.872,73.78,81,18,3.83,TH,1611778055
salmon arm,50.6998,-119.3024,33.01,93,100,1.14,CA,1611778056
severnoye,56.3491,78.3619,3.7,93,92,3.42,RU,1611778056
duku,11.2361,4.9073,81.12,15,0,6.85,NG,1611778056
berlevag,70.8578,29.0864,24.8,74,75,25.32,NO,1611778056
alice springs,-23.7,133.8833,75.2,73,26,6.91,AU,1611778057
palmer,42.1584,-72.3287,34.0,86,100,1.01,US,1611778057
yulara,-25.2406,130.9889,75.2,73,100,9.22,AU,1611778057
fonte boa,-2.4959,-66.2662,88.3,57,96,3.42,BR,1611778057
wildwood,38.5828,-90.6629,30.99,86,90,10.36,US,1611778057
calabozo,8.9242,-67.4293,93.36,30,97,9.22,VE,1611777856
sharan,54.8167,54.0,22.5,95,100,15.21,RU,1611778058
port shepstone,-30.7414,30.455,71.4,93,100,25.81,ZA,1611778058
tecoanapa,16.5167,-98.75,84.15,53,12,10.69,MX,1611778058
konstantinovka,49.6167,127.9833,-22.49,84,1,3.42,RU,1611778058
borovoy,55.4333,86.0833,19.4,86,90,8.95,RU,1611778058
san pedro,14.35,121.0167,77.0,94,20,1.14,PH,1611778059
castelo do piaui,-5.3222,-41.5525,87.26,54,100,3.96,BR,1611778059
kushima,31.4583,131.2333,44.01,93,0,4.0,JP,1611778059
pokrovsk,48.282,37.1758,38.68,79,100,17.65,UA,1611778059
broken hill,-31.95,141.4333,69.8,49,96,6.91,AU,1611778060
la grande,45.3246,-118.0877,39.0,67,27,5.01,US,1611778060
kulhudhuffushi,6.6221,73.07,80.67,70,34,11.74,MV,1611778060
kenai,60.5544,-151.2583,10.0,85,1,3.44,US,1611778060
steinbach,50.1667,8.5667,37.99,93,75,6.91,DE,1611778060
ust-maya,60.4167,134.5333,-44.41,77,100,1.79,RU,1611778061
maniitsoq,65.4167,-52.9,19.54,75,0,6.24,GL,1611778061
karratha,-20.7377,116.8463,84.36,42,0,11.01,AU,1611778061
mali,12.079,-12.2982,65.73,23,0,2.64,GN,1611778061
golyshmanovo,56.3979,68.3728,22.87,98,97,8.21,RU,1611778061
adre,13.4667,22.2,73.02,20,88,10.96,TD,1611778062
rovenki,48.0833,39.3776,34.2,95,100,16.89,UA,1611778062
kimbe,-5.5502,150.1429,77.41,87,100,2.71,PG,1611778062
medicine hat,50.0501,-110.6683,21.0,79,90,2.3,CA,1611777782
sorland,67.667,12.6934,33.8,75,40,16.11,NO,1611778062
taungdwingyi,20.0167,95.55,64.99,52,0,1.74,MM,1611778063
hofn,64.2539,-15.2082,26.6,59,0,12.66,IS,1611778063
palauig,15.435,119.9045,77.54,77,3,5.32,PH,1611778063
kisesa,-3.0833,34.15,67.08,70,26,0.27,TZ,1611778063
banjarmasin,-3.3244,114.591,77.0,94,75,2.24,ID,1611778064
inhambane,-23.865,35.3833,82.4,83,20,5.75,MZ,1611778064
araripina,-7.5761,-40.4983,86.5,37,100,7.67,BR,1611778064
rosetown,51.5501,-108.0014,1.99,73,73,5.99,CA,1611778064
waipawa,-41.4122,175.5153,66.2,82,90,18.41,NZ,1611778065
zaraza,9.3503,-65.3245,91.17,37,100,7.54,VE,1611778065
kaeo,-35.1,173.7833,69.01,83,13,5.01,NZ,1611778065
calawag,10.6697,119.5707,76.69,84,100,5.75,PH,1611778065
fort smith,35.3859,-94.3986,37.99,65,90,12.66,US,1611778066
shu,43.5983,73.7614,11.43,92,0,0.92,KZ,1611778066
beya,53.0533,90.9139,24.19,92,100,22.66,RU,1611778066
beloha,-25.1667,45.05,77.56,79,0,12.86,MG,1611778030
dubbo,-32.25,148.6167,68.0,77,19,14.97,AU,1611778066
broome,42.2506,-75.833,28.0,80,90,9.22,US,1611778067
spruce grove,53.5334,-113.9187,7.0,92,90,8.05,CA,1611777812
basco,20.4487,121.9702,73.15,77,3,17.96,PH,1611778067
bata,1.8639,9.7658,82.4,83,20,4.61,GQ,1611778067
jiwani,25.05,61.7417,66.15,67,0,6.98,PK,1611778068
ust-nera,64.5667,143.2,-25.19,76,100,2.39,RU,1611778068
jiutai,44.1525,125.8328,6.8,78,40,4.47,CN,1611778068
sajanan,37.0573,9.2426,59.0,94,40,16.11,TN,1611778068
maria chiquita,9.4431,-79.7558,81.0,79,28,10.0,PA,1611778068
caravelas,-17.7125,-39.2481,80.42,68,100,6.93,BR,1611778069
axim,4.8699,-2.2405,79.45,84,61,9.66,GH,1611778069
abilene,32.4487,-99.7331,46.99,53,1,12.66,US,1611777964
fairbanks,64.8378,-147.7164,-2.99,69,75,1.77,US,1611777797
shyroke,47.6917,33.2571,35.6,93,90,8.95,UA,1611778069
alta floresta,-9.8756,-56.0861,82.62,73,78,2.8,BR,1611778070
padang,-0.9492,100.3543,73.4,94,75,1.14,ID,1611778070
damghan,36.1683,54.348,36.23,69,0,2.66,IR,1611778070
akureyri,65.6835,-18.0878,19.4,86,75,3.6,IS,1611778070
caraballeda,10.6112,-66.8522,86.0,74,40,15.05,VE,1611778070
hervey bay,-25.2986,152.8535,73.0,89,6,1.01,AU,1611778071
fare,-16.7,-151.0167,81.23,73,43,15.57,PF,1611778071
westport,41.1415,-73.3579,36.0,69,90,10.36,US,1611778071
ivanava,52.1451,25.5365,26.28,99,99,7.16,BY,1611778071
sembe,1.6481,14.5806,73.13,91,92,1.68,CG,1611778072
sanmartin,46.2667,25.9333,33.01,42,100,5.57,RO,1611778072
kharhial,20.2833,82.7667,66.0,53,8,1.45,IN,1611778072
xining,36.6167,101.7667,10.81,71,0,3.33,CN,1611778072
la reforma,25.0833,-108.05,84.99,43,100,8.99,MX,1611778072
mascota,20.5167,-104.7833,87.58,17,9,3.36,MX,1611778073
husavik,66.0449,-17.3389,19.4,86,75,7.14,IS,1611778073
turka,49.1541,23.0297,28.0,85,97,3.06,UA,1611778073
buckeye,33.3703,-112.5838,57.0,38,1,14.97,US,1611778073
almaznyy,48.0448,40.045,37.4,93,75,20.13,RU,1611778073
avera,33.194,-82.5271,60.8,100,90,13.8,US,1611778074
lenine,45.2986,35.7771,50.94,65,99,15.21,UA,1611778074
mamakan,57.8161,114.0028,-38.79,75,63,0.83,RU,1611778074
fortuna,40.5982,-124.1573,48.0,87,90,21.85,US,1611778075
hokitika,-42.7167,170.9667,58.55,77,10,11.83,NZ,1611778075
maturin,9.75,-63.1767,84.45,55,89,10.42,VE,1611778075
yichang,30.7144,111.2847,37.99,73,69,2.91,CN,1611778075
chegutu,-18.1302,30.1407,66.6,94,96,2.8,ZW,1611778075
aykhal,66.0,111.5,-35.66,75,0,1.9,RU,1611778076
paamiut,61.994,-49.6678,26.74,85,100,6.22,GL,1611778076
araouane,18.9048,-3.5265,72.72,18,0,9.64,ML,1611778077
ipixuna,-1.7625,-48.8043,82.4,78,40,9.22,BR,1611778077
le port,-20.9373,55.2919,73.4,83,0,8.05,RE,1611778077
ushibuka,32.1906,130.0228,48.85,69,0,7.47,JP,1611778077
nassau,40.7507,-73.5829,37.99,65,90,14.97,US,1611778078
gravdal,68.1214,13.5031,26.6,74,20,8.05,NO,1611778078
cisarua,-6.6527,106.471,78.01,83,20,12.66,ID,1611778078
diamantino,-14.4086,-56.4461,83.53,75,80,5.21,BR,1611778078
wau,7.7029,27.9953,78.17,33,33,1.74,SS,1611778078
panarukan,-7.7018,113.9184,77.36,81,100,6.93,ID,1611778079
cairns,-16.9167,145.7667,78.8,83,89,3.44,AU,1611778079
shar,49.5886,81.0453,10.33,93,100,12.3,KZ,1611778079
ampanihy,-24.7,44.75,76.53,80,17,6.8,MG,1611778079
ratnagiri,16.9833,73.3,72.54,66,0,6.15,IN,1611778079
bela pod bezdezem,50.5012,14.8042,32.0,94,12,4.21,CZ,1611777969
cangucu,-31.395,-52.6756,73.4,88,40,6.91,BR,1611778080
kieta,-6.2167,155.6333,80.49,81,95,7.67,PG,1611778080
lodwar,3.1191,35.5973,83.57,35,0,11.72,KE,1611778080
lugovoy,42.9472,72.7644,15.53,85,0,2.84,KZ,1611778080
katherine,-14.4667,132.2667,77.0,94,100,6.04,AU,1611778081
bella union,-30.2752,-57.6007,88.63,45,0,9.4,UY,1611778081
coihaique,-45.5752,-72.0662,57.2,54,75,11.5,CL,1611778081
plyussa,58.4308,29.3654,28.22,98,90,2.28,RU,1611778081
malakal,9.5334,31.6605,84.0,22,3,6.64,SS,1611778082
enshi,30.3,109.4833,39.96,83,6,0.43,CN,1611778082
vitorino freire,-4.0667,-45.1667,79.57,91,100,2.53,BR,1611778082
kuvshinovo,57.0295,34.1725,28.02,99,92,3.78,RU,1611778083
warrington,53.3925,-2.5802,46.4,93,75,9.22,GB,1611777798
altay,47.8667,88.1167,1.67,74,63,1.74,CN,1611778083
ussel,45.55,2.3167,41.0,96,100,5.99,FR,1611778083
sao joao da barra,-21.6403,-41.0511,86.0,54,0,20.71,BR,1611778083
hualmay,-11.0964,-77.6139,76.32,67,91,11.01,PE,1611778084
akyab,20.15,92.9,63.39,63,0,6.22,MM,1611778084
qaqortoq,60.7167,-46.0333,37.4,32,75,32.21,GL,1611778084
preobrazheniye,42.9019,133.9064,15.39,80,100,3.2,RU,1611778084
olafsvik,64.8945,-23.7142,30.69,88,100,17.07,IS,1611778084
diffa,13.3154,12.6113,73.29,17,0,9.89,NE,1611778085
kaabong,3.4836,34.1492,69.58,41,0,8.1,UG,1611778085
